nama_motor,lokasi,harga,deskripsi,kapasitas_mesin,tahun,transmisi,kilometer,url,merk
,,,,,,,,https://www.momotor.id/motor-bekas/yamaha/yamaha-gear-125?pid=270640,Yamaha
,,,,,,,,https://www.momotor.id/motor-bekas/yamaha/yamaha-all-new-nmax-155?pid=270642,Yamaha
,,,,,,,,https://www.momotor.id/motor-bekas/yamaha/yamaha-all-new-xsr-155?pid=270645,Yamaha
,,,,,,,,https://www.momotor.id/motor-bekas/yamaha/yamaha-aerox-155-vva?pid=270648,Yamaha
Yamaha Lexi S,Kota Medan,"Rp17,800,000","Ss lengkap , pajak plat hidup , nego di tempat",125 CC,2019,Otomatis,>30000 KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-lexi-s?pid=271013,Yamaha
Yamaha Jupiter Mx Cw,Kota Medan,"Rp12,500,000","Ss lengkap , nego di tempat",125 CC,2017,Manual,>30000 KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-jupiter-mx-cw?pid=271016,Yamaha
Yamaha All New Nmax 155,Kota Medan,"Rp27,300,000","Ss lengkap , plat pajak hidup , nego di tempat",155 CC,2019,Otomatis,>30000 KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-all-new-nmax-155?pid=271025,Yamaha
Yamaha Nmax Abs,Kota Medan,"Rp27,300,000","Ss lengkap , plat pajak hidup  , nego di tempat",155 CC,2019,Otomatis,>30000 KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-nmax-abs?pid=271029,Yamaha
Yamaha Fino Sporty,Kota Medan,"Rp14,800,000","Ss lengkap , plat pajak hidup , nego di tempat",125 CC,2018,Otomatis,>30000 KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-fino-sporty?pid=271030,Yamaha
Yamaha Gear 125,Kota Medan,"Rp17,500,000","Ss lengkap , plat pajak hidup , nego di tempat",125 CC,2022,Otomatis,5000 - 10000KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-gear-125?pid=271009,Yamaha
Yamaha Gear 125 S-version,Kota Medan,"Rp17,500,000","Ss lengkap , plat pajak hidup , nego di tempat",125 CC,2022,Otomatis,5000 - 10000KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-gear-125-s-version?pid=271011,Yamaha
,,,,,,,,https://www.momotor.id/motor-bekas/yamaha/yamaha-lexi?pid=270634,Yamaha
,,,,,,,,https://www.momotor.id/motor-bekas/yamaha/yamaha-gear-125?pid=270640,Yamaha
,,,,,,,,https://www.momotor.id/motor-bekas/yamaha/yamaha-all-new-nmax-155?pid=270642,Yamaha
,,,,,,,,https://www.momotor.id/motor-bekas/yamaha/yamaha-all-new-xsr-155?pid=270645,Yamaha
,,,,,,,,https://www.momotor.id/motor-bekas/yamaha/yamaha-aerox-155-vva?pid=270648,Yamaha
Yamaha Lexi S,Kota Medan,"Rp17,800,000","Ss lengkap , pajak plat hidup , nego di tempat",125 CC,2019,Otomatis,>30000 KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-lexi-s?pid=271013,Yamaha
Yamaha Jupiter Mx Cw,Kota Medan,"Rp12,500,000","Ss lengkap , nego di tempat",125 CC,2017,Manual,>30000 KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-jupiter-mx-cw?pid=271016,Yamaha
Yamaha All New Nmax 155,Kota Medan,"Rp27,300,000","Ss lengkap , plat pajak hidup , nego di tempat",155 CC,2019,Otomatis,>30000 KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-all-new-nmax-155?pid=271025,Yamaha
Yamaha Nmax Abs,Kota Medan,"Rp27,300,000","Ss lengkap , plat pajak hidup  , nego di tempat",155 CC,2019,Otomatis,>30000 KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-nmax-abs?pid=271029,Yamaha
Yamaha Fino Sporty,Kota Medan,"Rp14,800,000","Ss lengkap , plat pajak hidup , nego di tempat",125 CC,2018,Otomatis,>30000 KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-fino-sporty?pid=271030,Yamaha
Yamaha Gear 125,Kota Medan,"Rp17,500,000","Ss lengkap , plat pajak hidup , nego di tempat",125 CC,2022,Otomatis,5000 - 10000KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-gear-125?pid=271009,Yamaha
Yamaha Gear 125 S-version,Kota Medan,"Rp17,500,000","Ss lengkap , plat pajak hidup , nego di tempat",125 CC,2022,Otomatis,5000 - 10000KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-gear-125-s-version?pid=271011,Yamaha
,,,,,,,,https://www.momotor.id/motor-bekas/yamaha/yamaha-lexi?pid=270634,Yamaha
,,,,,,,,https://www.momotor.id/motor-bekas/yamaha/yamaha-gear-125?pid=270640,Yamaha
,,,,,,,,https://www.momotor.id/motor-bekas/yamaha/yamaha-all-new-nmax-155?pid=270642,Yamaha
,,,,,,,,https://www.momotor.id/motor-bekas/yamaha/yamaha-all-new-xsr-155?pid=270645,Yamaha
,,,,,,,,https://www.momotor.id/motor-bekas/yamaha/yamaha-aerox-155-vva?pid=270648,Yamaha
Yamaha Lexi S,Kota Medan,"Rp17,800,000","Ss lengkap , pajak plat hidup , nego di tempat",125 CC,2019,Otomatis,>30000 KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-lexi-s?pid=271013,Yamaha
Yamaha Jupiter Mx Cw,Kota Medan,"Rp12,500,000","Ss lengkap , nego di tempat",125 CC,2017,Manual,>30000 KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-jupiter-mx-cw?pid=271016,Yamaha
Yamaha All New Nmax 155,Kota Medan,"Rp27,300,000","Ss lengkap , plat pajak hidup , nego di tempat",155 CC,2019,Otomatis,>30000 KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-all-new-nmax-155?pid=271025,Yamaha
Yamaha Nmax Abs,Kota Medan,"Rp27,300,000","Ss lengkap , plat pajak hidup  , nego di tempat",155 CC,2019,Otomatis,>30000 KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-nmax-abs?pid=271029,Yamaha
Yamaha Fino Sporty,Kota Medan,"Rp14,800,000","Ss lengkap , plat pajak hidup , nego di tempat",125 CC,2018,Otomatis,>30000 KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-fino-sporty?pid=271030,Yamaha
Yamaha Gear 125,Kota Medan,"Rp17,500,000","Ss lengkap , plat pajak hidup , nego di tempat",125 CC,2022,Otomatis,5000 - 10000KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-gear-125?pid=271009,Yamaha
Yamaha Gear 125 S-version,Kota Medan,"Rp17,500,000","Ss lengkap , plat pajak hidup , nego di tempat",125 CC,2022,Otomatis,5000 - 10000KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-gear-125-s-version?pid=271011,Yamaha
,,,,,,,,https://www.momotor.id/motor-bekas/yamaha/yamaha-lexi?pid=270634,Yamaha
,,,,,,,,https://www.momotor.id/motor-bekas/yamaha/yamaha-gear-125?pid=270640,Yamaha
,,,,,,,,https://www.momotor.id/motor-bekas/yamaha/yamaha-all-new-nmax-155?pid=270642,Yamaha
,,,,,,,,https://www.momotor.id/motor-bekas/yamaha/yamaha-all-new-xsr-155?pid=270645,Yamaha
,,,,,,,,https://www.momotor.id/motor-bekas/yamaha/yamaha-aerox-155-vva?pid=270648,Yamaha
Yamaha Lexi S,Kota Medan,"Rp17,800,000","Ss lengkap , pajak plat hidup , nego di tempat",125 CC,2019,Otomatis,>30000 KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-lexi-s?pid=271013,Yamaha
Yamaha Jupiter Mx Cw,Kota Medan,"Rp12,500,000","Ss lengkap , nego di tempat",125 CC,2017,Manual,>30000 KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-jupiter-mx-cw?pid=271016,Yamaha
Yamaha All New Nmax 155,Kota Medan,"Rp27,300,000","Ss lengkap , plat pajak hidup , nego di tempat",155 CC,2019,Otomatis,>30000 KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-all-new-nmax-155?pid=271025,Yamaha
Yamaha Nmax Abs,Kota Medan,"Rp27,300,000","Ss lengkap , plat pajak hidup  , nego di tempat",155 CC,2019,Otomatis,>30000 KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-nmax-abs?pid=271029,Yamaha
Yamaha Fino Sporty,Kota Medan,"Rp14,800,000","Ss lengkap , plat pajak hidup , nego di tempat",125 CC,2018,Otomatis,>30000 KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-fino-sporty?pid=271030,Yamaha
Yamaha Gear 125,Kota Medan,"Rp17,500,000","Ss lengkap , plat pajak hidup , nego di tempat",125 CC,2022,Otomatis,5000 - 10000KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-gear-125?pid=271009,Yamaha
Yamaha Gear 125 S-version,Kota Medan,"Rp17,500,000","Ss lengkap , plat pajak hidup , nego di tempat",125 CC,2022,Otomatis,5000 - 10000KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-gear-125-s-version?pid=271011,Yamaha
,,,,,,,,https://www.momotor.id/motor-bekas/yamaha/yamaha-lexi?pid=270634,Yamaha
,,,,,,,,https://www.momotor.id/motor-bekas/yamaha/yamaha-gear-125?pid=270640,Yamaha
,,,,,,,,https://www.momotor.id/motor-bekas/yamaha/yamaha-all-new-nmax-155?pid=270642,Yamaha
,,,,,,,,https://www.momotor.id/motor-bekas/yamaha/yamaha-all-new-xsr-155?pid=270645,Yamaha
,,,,,,,,https://www.momotor.id/motor-bekas/yamaha/yamaha-aerox-155-vva?pid=270648,Yamaha
Yamaha Lexi S,Kota Medan,"Rp17,800,000","Ss lengkap , pajak plat hidup , nego di tempat",125 CC,2019,Otomatis,>30000 KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-lexi-s?pid=271013,Yamaha
Yamaha Jupiter Mx Cw,Kota Medan,"Rp12,500,000","Ss lengkap , nego di tempat",125 CC,2017,Manual,>30000 KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-jupiter-mx-cw?pid=271016,Yamaha
Yamaha All New Nmax 155,Kota Medan,"Rp27,300,000","Ss lengkap , plat pajak hidup , nego di tempat",155 CC,2019,Otomatis,>30000 KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-all-new-nmax-155?pid=271025,Yamaha
Yamaha Nmax Abs,Kota Medan,"Rp27,300,000","Ss lengkap , plat pajak hidup  , nego di tempat",155 CC,2019,Otomatis,>30000 KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-nmax-abs?pid=271029,Yamaha
Yamaha Fino Sporty,Kota Medan,"Rp14,800,000","Ss lengkap , plat pajak hidup , nego di tempat",125 CC,2018,Otomatis,>30000 KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-fino-sporty?pid=271030,Yamaha
Yamaha Gear 125,Kota Medan,"Rp17,500,000","Ss lengkap , plat pajak hidup , nego di tempat",125 CC,2022,Otomatis,5000 - 10000KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-gear-125?pid=271009,Yamaha
Yamaha Gear 125 S-version,Kota Medan,"Rp17,500,000","Ss lengkap , plat pajak hidup , nego di tempat",125 CC,2022,Otomatis,5000 - 10000KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-gear-125-s-version?pid=271011,Yamaha
,,,,,,,,https://www.momotor.id/motor-bekas/yamaha/yamaha-lexi?pid=270634,Yamaha
,,,,,,,,https://www.momotor.id/motor-bekas/yamaha/yamaha-gear-125?pid=270640,Yamaha
,,,,,,,,https://www.momotor.id/motor-bekas/yamaha/yamaha-all-new-nmax-155?pid=270642,Yamaha
,,,,,,,,https://www.momotor.id/motor-bekas/yamaha/yamaha-all-new-xsr-155?pid=270645,Yamaha
,,,,,,,,https://www.momotor.id/motor-bekas/yamaha/yamaha-aerox-155-vva?pid=270648,Yamaha
Yamaha Lexi S,Kota Medan,"Rp17,800,000","Ss lengkap , pajak plat hidup , nego di tempat",125 CC,2019,Otomatis,>30000 KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-lexi-s?pid=271013,Yamaha
Yamaha Jupiter Mx Cw,Kota Medan,"Rp12,500,000","Ss lengkap , nego di tempat",125 CC,2017,Manual,>30000 KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-jupiter-mx-cw?pid=271016,Yamaha
Yamaha All New Nmax 155,Kota Medan,"Rp27,300,000","Ss lengkap , plat pajak hidup , nego di tempat",155 CC,2019,Otomatis,>30000 KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-all-new-nmax-155?pid=271025,Yamaha
Yamaha Nmax Abs,Kota Medan,"Rp27,300,000","Ss lengkap , plat pajak hidup  , nego di tempat",155 CC,2019,Otomatis,>30000 KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-nmax-abs?pid=271029,Yamaha
Yamaha Fino Sporty,Kota Medan,"Rp14,800,000","Ss lengkap , plat pajak hidup , nego di tempat",125 CC,2018,Otomatis,>30000 KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-fino-sporty?pid=271030,Yamaha
Yamaha Gear 125,Kota Medan,"Rp17,500,000","Ss lengkap , plat pajak hidup , nego di tempat",125 CC,2022,Otomatis,5000 - 10000KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-gear-125?pid=271009,Yamaha
Yamaha Gear 125 S-version,Kota Medan,"Rp17,500,000","Ss lengkap , plat pajak hidup , nego di tempat",125 CC,2022,Otomatis,5000 - 10000KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-gear-125-s-version?pid=271011,Yamaha
,,,,,,,,https://www.momotor.id/motor-bekas/yamaha/yamaha-lexi?pid=270634,Yamaha
,,,,,,,,https://www.momotor.id/motor-bekas/yamaha/yamaha-gear-125?pid=270640,Yamaha
,,,,,,,,https://www.momotor.id/motor-bekas/yamaha/yamaha-all-new-nmax-155?pid=270642,Yamaha
,,,,,,,,https://www.momotor.id/motor-bekas/yamaha/yamaha-all-new-xsr-155?pid=270645,Yamaha
,,,,,,,,https://www.momotor.id/motor-bekas/yamaha/yamaha-aerox-155-vva?pid=270648,Yamaha
Yamaha Lexi S,Kota Medan,"Rp17,800,000","Ss lengkap , pajak plat hidup , nego di tempat",125 CC,2019,Otomatis,>30000 KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-lexi-s?pid=271013,Yamaha
Yamaha Jupiter Mx Cw,Kota Medan,"Rp12,500,000","Ss lengkap , nego di tempat",125 CC,2017,Manual,>30000 KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-jupiter-mx-cw?pid=271016,Yamaha
Yamaha All New Nmax 155,Kota Medan,"Rp27,300,000","Ss lengkap , plat pajak hidup , nego di tempat",155 CC,2019,Otomatis,>30000 KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-all-new-nmax-155?pid=271025,Yamaha
Yamaha Nmax Abs,Kota Medan,"Rp27,300,000","Ss lengkap , plat pajak hidup  , nego di tempat",155 CC,2019,Otomatis,>30000 KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-nmax-abs?pid=271029,Yamaha
Yamaha Fino Sporty,Kota Medan,"Rp14,800,000","Ss lengkap , plat pajak hidup , nego di tempat",125 CC,2018,Otomatis,>30000 KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-fino-sporty?pid=271030,Yamaha
Yamaha Gear 125,Kota Medan,"Rp17,500,000","Ss lengkap , plat pajak hidup , nego di tempat",125 CC,2022,Otomatis,5000 - 10000KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-gear-125?pid=271009,Yamaha
Yamaha Gear 125 S-version,Kota Medan,"Rp17,500,000","Ss lengkap , plat pajak hidup , nego di tempat",125 CC,2022,Otomatis,5000 - 10000KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-gear-125-s-version?pid=271011,Yamaha
,,,,,,,,https://www.momotor.id/motor-bekas/yamaha/yamaha-lexi?pid=270634,Yamaha
,,,,,,,,https://www.momotor.id/motor-bekas/yamaha/yamaha-gear-125?pid=270640,Yamaha
,,,,,,,,https://www.momotor.id/motor-bekas/yamaha/yamaha-all-new-nmax-155?pid=270642,Yamaha
,,,,,,,,https://www.momotor.id/motor-bekas/yamaha/yamaha-all-new-xsr-155?pid=270645,Yamaha
,,,,,,,,https://www.momotor.id/motor-bekas/yamaha/yamaha-aerox-155-vva?pid=270648,Yamaha
Yamaha Lexi S,Kota Medan,"Rp17,800,000","Ss lengkap , pajak plat hidup , nego di tempat",125 CC,2019,Otomatis,>30000 KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-lexi-s?pid=271013,Yamaha
Yamaha Jupiter Mx Cw,Kota Medan,"Rp12,500,000","Ss lengkap , nego di tempat",125 CC,2017,Manual,>30000 KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-jupiter-mx-cw?pid=271016,Yamaha
Yamaha All New Nmax 155,Kota Medan,"Rp27,300,000","Ss lengkap , plat pajak hidup , nego di tempat",155 CC,2019,Otomatis,>30000 KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-all-new-nmax-155?pid=271025,Yamaha
Yamaha Nmax Abs,Kota Medan,"Rp27,300,000","Ss lengkap , plat pajak hidup  , nego di tempat",155 CC,2019,Otomatis,>30000 KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-nmax-abs?pid=271029,Yamaha
Yamaha Fino Sporty,Kota Medan,"Rp14,800,000","Ss lengkap , plat pajak hidup , nego di tempat",125 CC,2018,Otomatis,>30000 KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-fino-sporty?pid=271030,Yamaha
Yamaha Gear 125,Kota Medan,"Rp17,500,000","Ss lengkap , plat pajak hidup , nego di tempat",125 CC,2022,Otomatis,5000 - 10000KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-gear-125?pid=271009,Yamaha
Yamaha Gear 125 S-version,Kota Medan,"Rp17,500,000","Ss lengkap , plat pajak hidup , nego di tempat",125 CC,2022,Otomatis,5000 - 10000KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-gear-125-s-version?pid=271011,Yamaha
,,,,,,,,https://www.momotor.id/motor-bekas/yamaha/yamaha-lexi?pid=270634,Yamaha
,,,,,,,,https://www.momotor.id/motor-bekas/yamaha/yamaha-gear-125?pid=270640,Yamaha
,,,,,,,,https://www.momotor.id/motor-bekas/yamaha/yamaha-all-new-nmax-155?pid=270642,Yamaha
,,,,,,,,https://www.momotor.id/motor-bekas/yamaha/yamaha-all-new-xsr-155?pid=270645,Yamaha
,,,,,,,,https://www.momotor.id/motor-bekas/yamaha/yamaha-aerox-155-vva?pid=270648,Yamaha
Yamaha Lexi S,Kota Medan,"Rp17,800,000","Ss lengkap , pajak plat hidup , nego di tempat",125 CC,2019,Otomatis,>30000 KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-lexi-s?pid=271013,Yamaha
Yamaha Jupiter Mx Cw,Kota Medan,"Rp12,500,000","Ss lengkap , nego di tempat",125 CC,2017,Manual,>30000 KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-jupiter-mx-cw?pid=271016,Yamaha
Yamaha All New Nmax 155,Kota Medan,"Rp27,300,000","Ss lengkap , plat pajak hidup , nego di tempat",155 CC,2019,Otomatis,>30000 KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-all-new-nmax-155?pid=271025,Yamaha
Yamaha Nmax Abs,Kota Medan,"Rp27,300,000","Ss lengkap , plat pajak hidup  , nego di tempat",155 CC,2019,Otomatis,>30000 KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-nmax-abs?pid=271029,Yamaha
Yamaha Fino Sporty,Kota Medan,"Rp14,800,000","Ss lengkap , plat pajak hidup , nego di tempat",125 CC,2018,Otomatis,>30000 KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-fino-sporty?pid=271030,Yamaha
Yamaha Gear 125,Kota Medan,"Rp17,500,000","Ss lengkap , plat pajak hidup , nego di tempat",125 CC,2022,Otomatis,5000 - 10000KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-gear-125?pid=271009,Yamaha
Yamaha Gear 125 S-version,Kota Medan,"Rp17,500,000","Ss lengkap , plat pajak hidup , nego di tempat",125 CC,2022,Otomatis,5000 - 10000KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-gear-125-s-version?pid=271011,Yamaha
,,,,,,,,https://www.momotor.id/motor-bekas/yamaha/yamaha-lexi?pid=270634,Yamaha
,,,,,,,,https://www.momotor.id/motor-bekas/yamaha/yamaha-gear-125?pid=270640,Yamaha
,,,,,,,,https://www.momotor.id/motor-bekas/yamaha/yamaha-all-new-nmax-155?pid=270642,Yamaha
,,,,,,,,https://www.momotor.id/motor-bekas/yamaha/yamaha-all-new-xsr-155?pid=270645,Yamaha
,,,,,,,,https://www.momotor.id/motor-bekas/yamaha/yamaha-aerox-155-vva?pid=270648,Yamaha
Yamaha Lexi S,Kota Medan,"Rp17,800,000","Ss lengkap , pajak plat hidup , nego di tempat",125 CC,2019,Otomatis,>30000 KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-lexi-s?pid=271013,Yamaha
Yamaha Jupiter Mx Cw,Kota Medan,"Rp12,500,000","Ss lengkap , nego di tempat",125 CC,2017,Manual,>30000 KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-jupiter-mx-cw?pid=271016,Yamaha
Yamaha All New Nmax 155,Kota Medan,"Rp27,300,000","Ss lengkap , plat pajak hidup , nego di tempat",155 CC,2019,Otomatis,>30000 KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-all-new-nmax-155?pid=271025,Yamaha
Yamaha Nmax Abs,Kota Medan,"Rp27,300,000","Ss lengkap , plat pajak hidup  , nego di tempat",155 CC,2019,Otomatis,>30000 KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-nmax-abs?pid=271029,Yamaha
Yamaha Fino Sporty,Kota Medan,"Rp14,800,000","Ss lengkap , plat pajak hidup , nego di tempat",125 CC,2018,Otomatis,>30000 KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-fino-sporty?pid=271030,Yamaha
Yamaha Gear 125,Kota Medan,"Rp17,500,000","Ss lengkap , plat pajak hidup , nego di tempat",125 CC,2022,Otomatis,5000 - 10000KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-gear-125?pid=271009,Yamaha
Yamaha Gear 125 S-version,Kota Medan,"Rp17,500,000","Ss lengkap , plat pajak hidup , nego di tempat",125 CC,2022,Otomatis,5000 - 10000KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-gear-125-s-version?pid=271011,Yamaha
,,,,,,,,https://www.momotor.id/motor-bekas/yamaha/yamaha-lexi?pid=270634,Yamaha
,,,,,,,,https://www.momotor.id/motor-bekas/yamaha/yamaha-gear-125?pid=270640,Yamaha
,,,,,,,,https://www.momotor.id/motor-bekas/yamaha/yamaha-all-new-nmax-155?pid=270642,Yamaha
,,,,,,,,https://www.momotor.id/motor-bekas/yamaha/yamaha-all-new-xsr-155?pid=270645,Yamaha
,,,,,,,,https://www.momotor.id/motor-bekas/yamaha/yamaha-aerox-155-vva?pid=270648,Yamaha
Yamaha Lexi S,Kota Medan,"Rp17,800,000","Ss lengkap , pajak plat hidup , nego di tempat",125 CC,2019,Otomatis,>30000 KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-lexi-s?pid=271013,Yamaha
Yamaha Jupiter Mx Cw,Kota Medan,"Rp12,500,000","Ss lengkap , nego di tempat",125 CC,2017,Manual,>30000 KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-jupiter-mx-cw?pid=271016,Yamaha
Yamaha All New Nmax 155,Kota Medan,"Rp27,300,000","Ss lengkap , plat pajak hidup , nego di tempat",155 CC,2019,Otomatis,>30000 KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-all-new-nmax-155?pid=271025,Yamaha
Yamaha Nmax Abs,Kota Medan,"Rp27,300,000","Ss lengkap , plat pajak hidup  , nego di tempat",155 CC,2019,Otomatis,>30000 KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-nmax-abs?pid=271029,Yamaha
Yamaha Fino Sporty,Kota Medan,"Rp14,800,000","Ss lengkap , plat pajak hidup , nego di tempat",125 CC,2018,Otomatis,>30000 KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-fino-sporty?pid=271030,Yamaha
Yamaha Gear 125,Kota Medan,"Rp17,500,000","Ss lengkap , plat pajak hidup , nego di tempat",125 CC,2022,Otomatis,5000 - 10000KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-gear-125?pid=271009,Yamaha
Yamaha Gear 125 S-version,Kota Medan,"Rp17,500,000","Ss lengkap , plat pajak hidup , nego di tempat",125 CC,2022,Otomatis,5000 - 10000KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-gear-125-s-version?pid=271011,Yamaha
,,,,,,,,https://www.momotor.id/motor-bekas/yamaha/yamaha-lexi?pid=270634,Yamaha
,,,,,,,,https://www.momotor.id/motor-bekas/yamaha/yamaha-gear-125?pid=270640,Yamaha
,,,,,,,,https://www.momotor.id/motor-bekas/yamaha/yamaha-all-new-nmax-155?pid=270642,Yamaha
,,,,,,,,https://www.momotor.id/motor-bekas/yamaha/yamaha-all-new-xsr-155?pid=270645,Yamaha
,,,,,,,,https://www.momotor.id/motor-bekas/yamaha/yamaha-aerox-155-vva?pid=270648,Yamaha
Yamaha Lexi S,Kota Medan,"Rp17,800,000","Ss lengkap , pajak plat hidup , nego di tempat",125 CC,2019,Otomatis,>30000 KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-lexi-s?pid=271013,Yamaha
Yamaha Jupiter Mx Cw,Kota Medan,"Rp12,500,000","Ss lengkap , nego di tempat",125 CC,2017,Manual,>30000 KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-jupiter-mx-cw?pid=271016,Yamaha
Yamaha All New Nmax 155,Kota Medan,"Rp27,300,000","Ss lengkap , plat pajak hidup , nego di tempat",155 CC,2019,Otomatis,>30000 KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-all-new-nmax-155?pid=271025,Yamaha
Yamaha Nmax Abs,Kota Medan,"Rp27,300,000","Ss lengkap , plat pajak hidup  , nego di tempat",155 CC,2019,Otomatis,>30000 KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-nmax-abs?pid=271029,Yamaha
Yamaha Fino Sporty,Kota Medan,"Rp14,800,000","Ss lengkap , plat pajak hidup , nego di tempat",125 CC,2018,Otomatis,>30000 KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-fino-sporty?pid=271030,Yamaha
Yamaha Gear 125,Kota Medan,"Rp17,500,000","Ss lengkap , plat pajak hidup , nego di tempat",125 CC,2022,Otomatis,5000 - 10000KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-gear-125?pid=271009,Yamaha
Yamaha Gear 125 S-version,Kota Medan,"Rp17,500,000","Ss lengkap , plat pajak hidup , nego di tempat",125 CC,2022,Otomatis,5000 - 10000KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-gear-125-s-version?pid=271011,Yamaha
